#nrNodes nrCollisions nrTransmissions OverallEnergy
1 0 1 114.76992
1 0 2 217.645056
1 0 2 229.53984
1 0 1 114.76992
1 0 2 229.53984
1 0 1 114.76992
1 0 1 0.028913664
1 0 1 0.028913664
1 0 2 229.53984
1 0 2 229.53984
2 0 3 332.414976
2 0 3 344.30976
2 0 1 114.76992
2 2 4 435.290112
2 0 2 217.645056
2 0 3 332.414976
2 1 4 435.290112
2 0 2 217.645056
2 0 1 114.76992
2 0 3 320.520192
2 0 1 114.76992
2 0 2 229.53984
2 0 3 332.419792896
2 2 4 435.290112
2 2 3 320.520192
2 2 4 435.290112
2 2 3 320.520192
2 0 2 229.53984
2 1 2 217.645056
2 0 1 102.875136
2 0 2 229.53984
2 0 3 332.414976
2 0 2 229.53984
2 0 1 114.76992
2 0 2 229.53984
2 0 2 229.53984
2 0 3 332.414976
2 0 1 114.76992
2 2 2 205.750272
2 0 3 332.414976
2 0 3 332.414976
2 0 3 344.30976
2 2 4 423.395328
2 0 1 114.76992
2 2 4 423.395328
2 0 2 229.53984
2 0 2 229.53984
2 1 3 320.520192
2 1 5 538.170064896
2 0 3 332.419792896
2 0 2 5215.322112
2 0 2 5215.322112
2 0 1 2607.661056
2 0 2 19873.431552
2 0 2 20934.131712
2 0 2 17803.149312
